%
%
% Run:0     Table:NOGRID            SWASH version:11.01
%
%       Tsec          Runlev   
%       [s]           [m]      
%
    409.00992        2.3554 
    410.00626        2.4503 
    411.00259        2.5218 
    412.02322        2.5793 
    413.01956        2.6328 
    414.01590        2.6909 
    415.01227        2.7347 
    416.00861        2.7703 
    417.00494        2.8037 
    418.00128        2.8285 
    419.02191        2.8406 
    420.01825        2.8441 
    421.01459        2.8680 
    422.01093        2.8715 
    423.00726        2.8712 
    424.00363        2.8685 
    425.02426        2.8571 
    426.02060        2.8084 
    427.01694        2.7577 
    428.01328        2.7001 
    429.00961        2.6454 
    430.00595        2.5830 
    431.00229        2.5173 
    432.02295        2.4490 
    433.01929        2.3806 
    434.01562        2.3115 
    435.01196        2.2417 
    436.00830        2.1716 
    437.00464        2.1014 
    438.00098        2.0304 
    439.02164        1.9580 
    440.01797        1.8870 
    441.01431        1.8159 
    442.01065        1.7449 
    443.00699        1.6738 
    444.00333        1.6026 
    445.02399        1.5298 
    446.02032        1.4592 
    447.01666        1.3876 
    448.01300        1.3171 
    449.00934        1.2459 
    450.00568        1.1769 
    451.00201        1.1066 
    452.02264        1.0374 
    453.01898        0.9667 
    454.01535        0.8917 
    455.01169        0.8271 
    456.00803        0.7624 
    457.00436        0.7100 
    458.00070        0.7186 
    459.02133        0.7884 
    460.01767        0.8568 
    461.01401        0.9134 
    462.01038        0.9621 
    463.00671        0.9982 
    464.00305        1.0453 
    465.02368        1.0800 
    466.02002        1.1020 
    467.01636        1.1343 
    468.01270        1.1365 
    469.00903        1.1536 
    470.00540        1.1644 
    471.00174        1.1656 
    472.02237        1.1641 
    473.01871        1.1579 
    474.01505        1.1142 
    475.01138        1.0632 
    476.00772        1.0125 
    477.00406        0.9522 
    478.00040        0.9024 
    479.02106        0.8575 
    480.01740        0.8564 
    481.01373        0.8890 
    482.01007        0.9987 
    483.00641        1.1371 
    484.00275        1.2744 
    485.02341        1.3806 
    486.01974        1.4851 
    487.01608        1.5889 
    488.01242        1.6833 
    489.00876        1.7623 
    490.00510        1.8326 
    491.00143        1.9020 
    492.02209        1.9707 
    493.01843        2.0241 
    494.01477        2.0751 
    495.01111        2.1110 
    496.00745        2.1461 
    497.00378        2.1804 
    498.00012        2.2140 
    499.02075        2.2420 
    500.01712        2.2485 
    501.01346        2.2497 
    502.00980        2.2540 
    503.00613        2.2667 
    504.00247        2.2657 
    505.02310        2.2568 
    506.01944        2.2106 
    507.01578        2.1714 
    508.01212        2.1255 
    509.00848        2.0684 
    510.00482        2.0099 
    511.00116        1.9520 
    512.02179        1.8859 
    513.01813        1.8187 
    514.01447        1.7507 
    515.01080        1.6817 
    516.00714        1.6123 
    517.00348        1.5423 
    518.02411        1.4710 
    519.02045        1.4000 
    520.01685        1.3288 
    521.01318        1.2584 
    522.00952        1.1877 
    523.00586        1.1165 
    524.00220        1.1014 
    525.02283        1.2062 
    526.01917        1.3102 
    527.01550        1.4106 
    528.01184        1.4850 
    529.00818        1.5714 
    530.00452        1.6545 
    531.00085        1.7235 
    532.02148        1.7843 
    533.01782        1.8326 
    534.01416        1.8935 
    535.01050        1.9351 
    536.00690        1.9706 
    537.00323        2.0047 
    538.02386        2.0354 
    539.02020        2.0415 
    540.01654        2.0690 
    541.01288        2.0737 
    542.00922        2.0742 
    543.00555        2.0734 
    544.00189        2.0700 
    545.02252        2.0536 
    546.01886        2.0153 
    547.01520        1.9678 
    548.01154        1.9200 
    549.00787        1.8606 
    550.00421        1.8006 
    551.00055        1.7412 
    552.02124        1.6746 
    553.01758        1.6069 
    554.01392        1.5384 
    555.01025        1.4692 
    556.00659        1.3996 
    557.00293        1.3292 
    558.02356        1.2574 
    559.01990        1.1926 
    560.01624        1.2592 
    561.01257        1.3410 
    562.00891        1.4085 
    563.00525        1.4508 
    564.00159        1.5184 
    565.02222        1.5550 
    566.01862        1.6069 
    567.01495        1.6414 
    568.01129        1.6592 
    569.00763        1.6919 
    570.00397        1.6974 
    571.00031        1.7214 
    572.02094        1.7248 
    573.01727        1.7249 
    574.01361        1.7232 
    575.00995        1.7170 
    576.00629        1.6843 
    577.00262        1.6393 
    578.02325        1.5825 
    579.01959        1.5284 
    580.01593        1.4682 
    581.01227        1.4037 
    582.00861        1.3373 
    583.00500        1.2696 
    584.00134        1.2011 
    585.02197        1.1301 
    586.01831        1.0605 
    587.01465        0.9887 
    588.01099        0.9409 
    589.00732        0.8846 
    590.00366        0.8277 
    591.00000        0.8436 
    592.02063        0.8417 
    593.01697        0.8303 
    594.01331        0.8112 
    595.00964        0.7764 
    596.00598        0.7327 
    597.00232        0.6768 
    598.02301        0.6798 
    599.01935        0.7500 
